version		features

- firmware HEX versions bellow require wheel control up to v1.81

11		encoder, 3 axis
111		encoder, 3 axis, 32 buttons
112		encoder, 2 axis + 1 for load cell, 32 buttons
12		encoder, 3 axis, up to 1800deg, 2x stronger damper and inertia
121		encoder, 3 axis, 32 buttons, up to 1800deg, 2x stronger damper and inertia
122		encoder, 2 axis + 1 for load cell, 32 buttons, up to 1800deg, 2x stronger damper and inertia
13		encoder, 3 axis, 3 buttons, up to 1800deg, 2x stronger damper and inertia
130		encoder, 3 axis, 3 buttons, up to 1800deg, 2x stronger damper and inertia, fixed periodic effects
131		encoder, 3 axis, 32 buttons, up to 1800deg, 2x stronger damper and inertia, fixed periodic effects + envelope + condition
133		encoder, 2 axis + 1 for load cell, 3 buttons, up to 1800deg, 2x stronger damper and inertia, fixed periodic effects + envelope + condition
14		encoder, 3 axis, 3 buttons, up to 1800deg, 2x stronger damper and inertia, fixed periodic effects + envelope + condition, EEPROM update only, FFB balance instead of brake strength
140		encoder, 3 axis, 3 buttons, up to 1800deg, 2x stronger damper and inertia, EEPROM update only, FFB balance instead of brake strength, reduced serial response details, individual timers for periodic effects + small fix
141		encoder, 3 axis, 32 buttons, up to 1800deg, 2x stronger damper and inertia, EEPROM update only, FFB balance instead of brake strength, reduced serial response details, individual timers for periodic effects + small fix
142		encoder, 2 axis + 1 for load cell, 32 buttons up to 1800deg, 2x stronger damper and inertia, EEPROM update only, FFB balance instead of brake strength, reduced serial response details, individual timers for periodic effects + small fix
141a		the same as v141, with wheel calibration enabled at startup
141b		the same as v141, with wheel calibration enabled at startup and no pedal autocalibration
150		the same as v140, but with only 1 FFB axis (fix for LFS)
151		the same as v141, but with only 1 FFB axis (fix for LFS)
152		the same as v142, but with only 1 FFB axis (fix for LFS)
150z            the same as v150, but with z-index support
151a		the same as v151, but with no pedal auto calibration
153		encoder + Z-index, 2 axis + 1 for load cell, 3 buttons, pedal autocalib, FFB output with 2xDAC (adafruit MCP4725) - recommended for DD wheels

- firmware HEX versions bellow require wheel control v1.9 or newer

160	        encoder, 4 axis, 2 buttons, pedal autocalib, 1FFB axis
160a	        the same as v160, but with no pedal auto calibration
160z	        the same as v160, with Z-index support
161		encoder, 4 axis, 28 buttons, pedal autocalib, 1FFB axis
162a		encoder, 3 axis + 1 for load cell, 2 + 28buttons, no pedal autocalib, 1FFB axis 
163		encoder + Z-index, 3 axis + 1 for load cell, 2 + 28buttons, pedal autocalib, 1FFB axis, FFB output with 2xDAC (adafruit MCP4725) - recommended for DD wheels

- firmware HEX versions bellow require wheel control v2.0 or newer

170 		encoder, 4 axis, 4 buttons, no pedal autocalib, 1FFB axis
170a		encoder, 4 axis, 4 buttons, pedal autocalib, 1FFB axis
170z 		encoder + Z-index, 4 axis, 4 buttons, no pedal autocalib, 1FFB axis
171ah		encoder, 4 axis, 4 (1 hat switch) + 24 buttons, pedal autocalib, 1FFB axis
172h		encoder, 3 axis + 1 for load cell, 4 (1 hat switch) + 24 buttons, no pedal autocalib, 1FFB axis 
172ah		encoder, 3 axis + 1 for load cell, 4 (1 hat switch) + 24 buttons, pedal autocalib, 1FFB axis
172azh		encoder + Z-index, 3 axis + 1 for load cell, 4 (1 hat switch) + 24 buttons, pedal autocalib, 1FFB axis
173azh		encoder + Z-index, 3 axis + 1 for load cell, 4 (1 hat switch) + 24 buttons, pedal autocalib, 1FFB axis, FFB output with 2xDAC (adafruit MCP4725) - recommended for DD wheels

180z		encoder + Z-index, 4 axis, 4 buttons (no hat switch), no pedal autocalib, 2 FFB axis, periodic effects timing, duration and start delay fix, 16bit direction, new HX711 library, debug FFB optimizations, 16x less strong spring
180az		the same as v180, but has pedal autocalib
181z		the same as v180, but has shift register support for 16 buttons, hat swich takes 1st 4 buttons
182azh		the same as v181, but has pedal autocalib and load cell support
183azh		the same as v182, but has analog FFB output with 2x 12bit DAC MCP4275
