version		features

- firmware HEX versions bellow require wheel control v2.0 or newer (these are only for Arduino ProMicro that use replacement pinouts)

180m		encoder, 4 axis, 8 buttons, 2 FFB axis, shift register fix, button matrix, periodic effects timing fix, duration and start delay fix, 16bit direction, new HX711 library, debug FFB optimizations, 16x less strong spring
180zm		the same as v180m, but has support for encoder Z-index
180asm		the same as v180m, with pedal autocalibration and support for ADS1015 external ADC for pedals
180azm		the same as v180zm, with pedal autocalib
180aztm		the same as v180az, with 4x4 button matrix support
180azhtm	the same as v180azt, with hat switch support (1st 4 buttons from a matrix are used)
181zm		the same as v180m, but has shift register support for 16 buttons
181azhm		the same as v181zm, with pedal autocalibration and hat switch support
182azhm		the same as v181azhm, with load cell support for HX711
183ahm		the same as v182azhm, but does not have z-index support and has analog FFB output with 2x12bit DAC MCP4275

- firmware HEX versions bellow require wheel control v2.1 or newer (these are only for Arduino ProMicro that use replacement pinouts)

190m		encoder, 4 axis, 8 buttons, 100k CPR, wheel angle as metric for conditional effects, shift register fix, button matrix, 2 FFB axis, periodic effects timing fix, duration and start delay fix, 16bit direction, new HX711 library, debug FFB optimizations, 16x less strong spring
190as		the same as v190m, with pedal autocalib and support for ADS1015 external ADC for pedals
190azhtm	the same as v190m, with pedal autocalibration, encoder Z-index, 4x4 button matrix and hat switch support
191azhm		the same as v190m, with pedal autocalibration, encoder Z-index and hat switch support
192azhm		the same as v191azhm, with load cell support with HX711
193ahm		the same as v192azhm, but does not have z-index support and has analog FFB output with 2x12bit DAC MCP4275

- firmware HEX versions bellow require wheel control v2.3 or newer (these are only for Arduino ProMicro that use replacement pinouts)

200m		encoder, 4 axis, 8 buttons, 100k CPR, wheel angle as metric for conditional effects, shift register fix, button matrix, 2 FFB axis, periodic effects timing fix, duration and start delay fix, 16bit direction, new HX711 library, debug FFB optimizations, 16x less strong spring, manual pedal axis calibration, pwm0.50.100 mode
200am		the same as v200m, with pedal autocalib instead of manual calib
200zm		the same as v200m, with z-index support
200cm		the same as v200m, with hardware wheel recenter on pin D2
200azm		the same as v200m, with pedal autocalib and z-index support

- firmware HEX versions bellow require wheel control v2.4 or newer

210m		encoder, 4 axis, 8 buttons, 100k CPR, wheel angle as metric for conditional effects, shift register fix, button matrix, 2 FFB axis, periodic effects timing fix, duration and start delay fix, 16bit direction, new HX711 library, debug FFB optimizations, 16x less strong spring, manual pedal axis calibration, pwm0.50.100 mode, rcm pwm mode
210am		the same as v210m, with pedal autocalib instead of manual calib
210zm		the same as v210m, with z-index support
210cm		the same as v210m, with hardware wheel recenter button on pin D2
210cfm		the same as v210cm, with H-pattern analog XY shifter support, but it has no clutch and handbrake
210acfm		the same as v210cfm, with automatic pedal calibration
210azm		the same as v210am, with z-index support
210htm		the same as v210m, with 4x4 button matrix and a hat switch support
211ahm		the same as v210am, with shifter register and a hat switch support
211sm		the same as v210m, with support for ADS1015 external ADC for pedals and shift register
211chfm		the same as v210cfm, with a hat switch and shift register, but it has no clutch and handbrake
212ahm		the same as v211ahm, with load cell support with HX711 
213ahm		the same as v212ahm, but has analog FFB output with 2x12bit DAC MCP4275 instead of PWM output

- firmware HEX versions bellow require wheel control v2.5 or newer

220m		encoder, 4 axis, 8 buttons, 100k CPR, wheel angle as metric for conditional effects, shift register fix, button matrix, 2 FFB axis, periodic effects timing fix, duration and start delay fix, 16bit direction, new HX711 library, debug FFB optimizations, 16x less strong spring, manual pedal axis calibration, pwm0.50.100 mode, rcm pwm mode, X-axis calibration 0-65k, encoder z-index reset
220am		the same as v220m, with pedal autocalib instead of manual calib
220zm		the same as v220m, with z-index support
220cm		the same as v220m, with hardware wheel recenter button on pin D2
220cfm		the same as v220cm, with H-pattern analog XY shifter support, but it has no clutch and handbrake
220chm		the same as v220cm, with hat switch support
220chem		the same as v220chm, with 2 extra digital buttons on pins A2, A3 (clutch and handbrake are not available)
220acfm		the same as v220cfm, with automatic pedal calibration
220azm		the same as v220am, with z-index support
220htm		the same as v220m, with 4x4 button matrix and a hat switch support
220azhtm	the same as v220htm, with automatic pedal calibration and z-index support
220achtm	the same as v220htm, with automatic pedal calibration and hardware wheel recenter button on pin D2
221ahm		the same as v220am, with shifter register and a hat switch support
221sm		the same as v220m, with support for ADS1015 external ADC for pedals and shift register
221chfm		the same as v220cfm, with a hat switch and shift register, but it has no clutch and handbrake
222ahm		the same as v221ahm, with load cell support with HX711
222zm		the same as v220zm, with shifter register and load cell support with HX711 
223ahm		the same as v222ahm, but has analog FFB output with 2x12bit DAC MCP4275 instead of PWM output
223hm		the same as v223ahm, but has manual pedal calibration instead of automatic

- firmware HEX versions bellow require wheel control v2.6.0 or newer

230xm		encoder, 4 axis, 8 buttons, 100k CPR, wheel angle as metric for conditional effects, shift register fix, button matrix, 2 FFB axis, periodic effects timing fix, duration and start delay fix, 16bit direction, new HX711 library, debug FFB optimizations, 16x less strong spring, manual pedal axis calibration, pwm0.50.100 mode, rcm pwm mode, X-axis calibration 0-65k, encoder z-index reset, additional h-shifter options, FFB on analog axis selector, with variable pedal cal values

230axm		the same as v230xm, with pedal autocalib instead of manual calib
230zxm		the same as v230xm, with z-index support
230cxm		the same as v230xm, with hardware wheel recenter button on pin D2
230ixm		the same as v230xm, with averaging of pedal analog inputs (4 samples)
230sxm		the same as v230xm, with support for ADS1015 external ADC for pedals
230cfxm		the same as v230cxm, with H-pattern analog XY shifter support, but it has no clutch and handbrake
230chxm		the same as v230cxm, with hat switch support
230chexm	the same as v230chxm, with 2 extra digital buttons on pins A2, A3 (clutch and handbrake are not available)
230acfxm	the same as v230cfxm, with automatic pedal calibration
230azxm		the same as v230axm, with z-index support
230htxm		the same as v230xm, with 4x4 button matrix and a hat switch support
230azhtxm	the same as v230htxm, with automatic pedal calibration and z-index support
230achtxm	the same as v230htxm, with automatic pedal calibration and hardware wheel recenter button on pin D2
231ahxm		the same as v230amx, with shifter register and a hat switch support
231sxm		the same as v230xm, with support for ADS1015 external ADC for pedals and with shift register
231chfxm	the same as v230cfxm, with a hat switch and shift register, but it has no clutch and handbrake
232ahxm		the same as v231ahxm, with load cell support with HX711
232zxm		the same as v230zxm, with shifter register and load cell support with HX711
232chxm		the same as v230xm, with hardware wheel recenter button on pin D2
233ahxm		the same as v232ahxm, but has analog FFB output with 2x12bit DAC MCP4275 instead of PWM output
233axm		the same as v233ahxm, but has no hat switch
